type,title,episode,season,number,date,platform
TV,Extra,Episode 192,32,192,2026-04-18,Syndication
TV,Mistress Kanan is Devilishly Easy,Episode 3,1,3,2026-04-18,Tokyo MX
TV,Lucky Dog: Down Under,Banksy & Baxter,1,17,2026-04-18,CBS
TV,Kusunoki's Garden of Gods,Training Wind Power in the Sacred Ground,1,3,2026-04-18,TV Asahi
TV,Bridge of Lies Celebrity Specials,"Amy Dowden, Nina Wadia, Montell Douglas, Toyah Willcox",4,2,2026-04-18,BBC One
TV,Petolliset,Murhatakko vai eikö murhata,5,6,2026-04-18,Nelonen
TV,Suurmestari,S niin kuin Suurmestari,7,4,2026-04-18,MTV3
TV,Alex Witt Reports,Episode 31,2026,31,2026-04-18,MS NOW
TV,Celebrity Catchphrase,"Guz Khan, Angela Scanlon, Joel Corry",11,7,2026-04-18,ITV1
TV,Güller ve Günahlar,25. Bölüm,1,25,2026-04-18,Kanal D
TV,Blankety Blank,"Rhod Gilbert, Jill Scott, Aisling Bea, Guz Khan, Nitro, Rev Kate Bottley",5,3,2026-04-18,BBC One
TV,Gelin,Episode 421,3,184,2026-04-18,Kanal 7
TV,Only joling,Aflevering 8,2,8,2026-04-18,"RTL4,Videoland"
TV,Britain's Got Talent,Auditions 8,19,8,2026-04-18,ITV1
TV,Secret Africa: Into the Wild,Episode 1,1,1,2026-04-18,Channel 4
TV,A mi kis falunk,A Polgármester szerencséje,10,7,2026-04-18,RTL
TV,Schlag den Star,Thorsten Legat vs. Harald Glööckler,2026,3,2026-04-18,ProSieben
TV,5 News Weekend,Episode 30,2026,30,2026-04-18,5
TV,America's Test Kitchen,Maple Pork Chops and Squash Soup,26,21,2026-04-18,PBS
TV,Beste kijkers,Aflevering 3,12,3,2026-04-18,RTL4
TV,Wie is de Mol?,TBA,29,8,2026-04-18,NPO 1
TV,Celebrity Sabotage,Episode 5,1,5,2026-04-18,ITV1
TV,An Là,Episode 108,2026,108,2026-04-18,BBC Alba
TV,World's Most Secret Hotels,Salar de Uyuni,2,1,2026-04-18,Channel 4
TV,Cook's Country from America's Test Kitchen,Tucson Tacos,18,21,2026-04-18,"PBS,PBS"
TV,At the BBC,Black British Music at the BBC: Volume 1,2026,6,2026-04-18,BBC Two
TV,Taskmaster,TBA,7,6,2026-04-18,RTP1
TV,PoliticsNation,Episode 27,2026,27,2026-04-18,MS NOW
TV,Cyberchase,Fix It Time!,16,1,2026-04-18,PBS
TV,Cyberchase,Leave the Leaves,16,2,2026-04-18,PBS
TV,Match of the Day,18/04/2026,2026,74,2026-04-18,BBC One
TV,WWE Premium Live Events,"WrestleMania 42 Night 1 - Allegiant Stadium in Las Vegas, NV",2026,3,2026-04-18,ESPN+
TV,The Weekend Primetime,Episode 30,2026,30,2026-04-18,MS NOW
TV,English Football League Highlights,Episode 42,2026,43,2026-04-18,ITV4
TV,World Championship Snooker Highlights,Day 1,2026,1,2026-04-18,BBC Two
TV,Love & Marriage: Huntsville,Quilting Me Softly,11,7,2026-04-18,Oprah Winfrey Network
TV,On Patrol: First Shift,#470,4,70,2026-04-18,REELZ
TV,Storage Wars: Back to the Locker,Asian Artifacts,3,8,2026-04-18,A&E
TV,Svengoolie,Parents,32,17,2026-04-18,Me-TV
TV,Kompani Lauritzen,Høyt og vått,7,22,2026-04-18,TV 2 Play
TV,Kompani Lauritzen,Åndenød og dimmekamp,7,23,2026-04-18,TV 2 Play
TV,On Patrol: Live,#470,4,70,2026-04-18,REELZ
TV,Storage Wars,The Count of Montebello,17,9,2026-04-18,A&E
TV,Kara Swisher Wants to Live Forever,Science or Snake Oil?,1,2,2026-04-18,CNN
TV,SEC Now,Episode 175,2026,175,2026-04-18,SEC Network
TV,Duck Dynasty: The Revival,Caddy Quack,2,7,2026-04-18,A&E
TV,Inside the NBA,Postgame Show 11,2025,11,2026-04-18,ESPN
TV,WOW - Women of Wrestling,Bullies vs. Bullied,7,28,2026-04-18,Syndication
TV,Insiders,19/4/2026,2026,12,2026-04-19,ABC
TV,Kamen Rider Series,Afflict,36,31,2026-04-19,TV Asahi
TV,Star Detective Precure,Episode 12,1,12,2026-04-19,TV Asahi
TV,Digimon Beatbreak,Episode 27,1,27,2026-04-19,Fuji TV
TV,Тёплый ветер с севера,Серия 7,1,7,2026-04-19,Смотрим
TV,Тёплый ветер с севера,Серия 8,1,8,2026-04-19,Смотрим
TV,Дачный ответ,Гостиная-столовая под крылом синей птицы,26,14,2026-04-19,НТВ
TV,Видели видео?,Выпуск 10,12,10,2026-04-19,Первый канал
TV,Battle Through the Heavens,Episode 195,5,195,2026-04-19,Tencent QQ
TV,Landline,Episode 10,2026,10,2026-04-19,ABC
TV,Doctor Shin,Episode 12,1,12,2026-04-19,TV Chosun
TV,We Are All Trying Here,Episode 2,1,2,2026-04-19,jTBC
TV,Punch-Drunk Woman,Episode 4,2,4,2026-04-19,NTV
TV,Своя игра,Выпуск 28,34,28,2026-04-19,НТВ
TV,Guangyin Zhi Wai,Episode 18,1,18,2026-04-19,Youku
TV,Rebirth,Episode 23,1,23,2026-04-19,Tencent QQ
TV,Rebirth,Episode 24,1,24,2026-04-19,Tencent QQ
TV,This Palace Maid Isn't Very Calm,Episode 16,1,16,2026-04-19,Tencent QQ
TV,Case x Decoded,Episode 6,1,6,2026-04-19,Youku
TV,Суперниндзя. Дети,Выпуск 3,3,3,2026-04-19,СТС
TV,1 News at Six,Episode 109,2026,109,2026-04-19,TVNZ 1
TV,Сокровища императора,Выпуск 2,3,2,2026-04-19,ТНТ
TV,Тайный миллионер,Секреты сезона,1,,2026-04-19,СТС
TV,Emmerdale,Sunday 19th April,55,74,2026-04-19,"ITV1,ITVX"
TV,Coronation Street,Sunday 19th April,67,74,2026-04-19,ITVX
TV,42 - Die Antwort auf fast alles,Ist Gehirnwäsche möglich?,2026,12,2026-04-19,ARTE
TV,Hyundai Country Calendar,In the Roots,61,9,2026-04-19,TVNZ 1
TV,Grand Designs New Zealand,Tauranga Hilltop,10,2,2026-04-19,TVNZ 1
TV,Wistoria: Wand and Sword,The Party from Hell Begins,2,2,2026-04-19,TBS
TV,10 NEWS+,Episode 89,2026,89,2026-04-19,"Network 10,10 Play"
TV,Mission: Yozakura Family,Winners and Losers,2,2,2026-04-19,"MBS,Crunchyroll"
TV,Маска,Выпуск 11,7,11,2026-04-19,НТВ
TV,Miraculous: Les aventures de Ladybug et Chat Noir,Tristanansi,6,20,2026-04-19,TF1
TV,MasterChef Australia,Episode 1,18,1,2026-04-19,Network 10
TV,Ace of Diamond,The Path of the Victor,4,3,2026-04-19,TV Tokyo
TV,Sunday Brunch,Episode 16,2026,16,2026-04-19,Channel 4
TV,Титаны,Выпуск 13,4,13,2026-04-19,ТНТ
TV,Come Dine With Me,Episode 11,10,11,2026-04-19,Kan 11
TV,The Floor,Episode 1,2,1,2026-04-19,Nine Network
TV,Шальной отдел,Вольга,1,21,2026-04-19,Пятый канал
TV,Шальной отдел,Палец бога,1,22,2026-04-19,Пятый канал
TV,Шальной отдел,Явление Китежа,1,23,2026-04-19,Пятый канал
TV,Шальной отдел,Тяжелый рок,1,24,2026-04-19,Пятый канал
TV,Xian Ni,Episode 137,1,137,2026-04-19,Tencent QQ
TV,Rust en Vreugd,Open-Hekjes-Dag,1,7,2026-04-19,NPO 1
TV,60 Minutes,Left to Die ; Going It Alone,2026,9,2026-04-19,Nine Network
TV,The Weekend,Episode 33,2026,33,2026-04-19,MS NOW
TV,Good Morning America: Weekend Edition,"April 19, 2026",2026,32,2026-04-19,ABC
TV,Echoes of a Thousand Moons,Episode 27,1,27,2026-04-19,"CCTV-8,iQIYI"
TV,Echoes of a Thousand Moons,Episode 28,1,28,2026-04-19,"CCTV-8,iQIYI"
TV,Шоу Воли,Выпуск 152,4,11,2026-04-19,ТНТ
TV,An Aimsir Láithreach,Episode 109,2026,109,2026-04-19,TG4
TV,Running Man Thailand,Episode 9,1,9,2026-04-19,iQIYI
TV,Sistemann ut,Urettferdig,4,4,2026-04-19,HBO Max
TV,Редакция,Редакция. News: 217-я неделя,2026,,2026-04-19,YouTube
TV,Trend to ร่างทอง,Episode 3,1,3,2026-04-19,YouTube
TV,Sunday TODAY with Willie Geist,"April 19, 2026",2026,13,2026-04-19,NBC
TV,The Game,Episode 7,5,7,2026-04-19,Shahid
TV,Idol 1N2D,EP(62-1) NCT WISH,2026,13,2026-04-19,YouTube
TV,Mad Concrete Dreams,Episode 12,1,12,2026-04-19,tvN
TV,Songs of Praise,Royal Recognition of Christian Service,2026,16,2026-04-19,BBC One
TV,9News Late,Episode 77,2026,77,2026-04-19,Nine Network
TV,The Food Diary of Miss Maid,Episode 4,1,4,2026-04-19,Tokyo MX
TV,Meet the Press,"April 19, 2026",2026,13,2026-04-19,NBC
TV,CBS News Sunday Morning,"Don Cheadle, Ayo Edebiri",2026,16,2026-04-19,CBS
TV,State of the Union with Jake Tapper and Dana Bash,"April 19, 2026",2026,16,2026-04-19,CNN
TV,My Romance Scammer,Episode 12,1,12,2026-04-19,"GMM25,WeTV"
TV,The Hill Sunday,Episode 16,2026,16,2026-04-19,NewsNation
TV,Velshi,Episode 32,2026,32,2026-04-19,MS NOW
TV,ABC News Live Weekend,Episode 32,2026,32,2026-04-19,ABC News Live
TV,Fareed Zakaria GPS,Episode 16,2026,16,2026-04-19,CNN
TV,This Week,"April 19, 2026",2026,16,2026-04-19,ABC
TV,One Piece,Episode 1158,2026,3,2026-04-19,Fuji TV
TV,Face the Nation,4/19 -,2026,16,2026-04-19,CBS
TV,The Classroom of the Black Cat and a Witch,Magic of the Zodiac,1,2,2026-04-19,TBS
TV,GHOST CONCERT : missing Songs,Episode 3,1,3,2026-04-19,Tokyo MX
TV,The Audacity,Valley of Heart's Delight,1,3,2026-04-19,AMC+
TV,Ingoku Danchi: Deviant's Apartment Complex,Episode 3,1,3,2026-04-19,BS11
TV,Alex Witt Reports,Episode 32,2026,32,2026-04-19,MS NOW
TV,Teşkilat,178. Bölüm,6,30,2026-04-19,TRT1
TV,Çirkin,4. Bölüm,1,4,2026-04-19,Star TV
TV,Countryfile,Custodians of the Peaks,38,16,2026-04-19,BBC One
TV,Gelin,Episode 422,3,185,2026-04-19,Kanal 7
TV,Asia Express,17. díl,1,17,2026-04-19,Prima televize
TV,So You Think You Can Dance,Aflevering 6,8,6,2026-04-19,RTL5
TV,De Mol,Aflevering 4,14,4,2026-04-19,Play
TV,Ein sehr gutes Quiz (mit hoher Gewinnsumme),TBA,2,1,2026-04-19,ProSieben
TV,Tatort,Berg - 17 - Innere Angelegenheiten,2026,14,2026-04-19,Das Erste
TV,5 News Weekend,Episode 31,2026,31,2026-04-19,5
TV,Duel šampiónov,Episode 32,2026,32,2026-04-19,RTVS
TV,Grace,One of Us Is Dead,6,4,2026-04-19,ITVX
TV,An Là,Episode 109,2026,109,2026-04-19,BBC Alba
TV,Lost Treasures of the Bible,Secrets of the Ark of the Covenant,2,3,2026-04-19,National Geographic
TV,Antiques Roadshow,Remembering Queen Elizabeth II,49,1,2026-04-19,BBC One
TV,"Rich Holiday, Poor Holiday",Episode 2,6,2,2026-04-19,5
TV,Nachtdieren,North Carolina & West Virginia,8,4,2026-04-19,NPO 3
TV,Café De Mol,Aflevering 4,8,4,2026-04-19,Play
TV,Heti Hetes,2. epizód,19,2,2026-04-19,RTL2
TV,Sommerdahl,Afsnit 6,7,6,2026-04-19,TV 2 Charlie
TV,Zero Stars,Norway,1,2,2026-04-19,TLC
TV,Your Song,Episode 2,1,2,2026-04-19,Channel 4
TV,"Rich House, Poor House",Episode 10,12,10,2026-04-19,5
TV,Chernobyl: Inside the Meltdown,Inferno,1,1,2026-04-19,National Geographic
TV,PoliticsNation,Episode 28,2026,28,2026-04-19,MS NOW
TV,Chernobyl: Inside the Meltdown,Cover-Up,1,2,2026-04-19,National Geographic
TV,Match of the Day,19/04/2026,2026,75,2026-04-19,BBC One
TV,WWE Premium Live Events,"WrestleMania 42 Night 2 - Allegiant Stadium in Las Vegas, NV",2026,4,2026-04-19,ESPN+
TV,The Weekend Primetime,Episode 31,2026,31,2026-04-19,MS NOW
TV,Snapped,Jennifer Sweeney,36,12,2026-04-19,Oxygen True Crime
TV,World Championship Snooker Highlights,Day 2,2026,2,2026-04-19,BBC Two
TV,A Plan to Kill,Digital Justice,2,7,2026-04-19,Oxygen True Crime
TV,America's Funniest Home Videos,"That's Using Your Noggin, The Great Outdoors, and Copy Cats",36,18,2026-04-19,ABC
TV,Antikrundan,"Fejkväska, Björks klotter och samlarbilder",37,7,2026-04-19,SVT Play
TV,Marshals,Blowback,1,8,2026-04-19,CBS
TV,Tournament of Champions,And the Winner Is…,7,8,2026-04-19,Food Network
TV,Home Town,Building Champions,10,14,2026-04-19,HGTV
TV,Antikmagasinet,"Träbåtar, ett hotat kulturarv",19,8,2026-04-19,SVT Play
TV,The Real Housewives of Atlanta,"Rum, Ruptures & Redemption",17,3,2026-04-19,Bravo
TV,When Hope Calls,Justice,3,3,2026-04-19,Great American Family
TV,90 Day Fiancé: Before the 90 Days,Now Departing,8,19,2026-04-19,TLC
TV,Krapopolis,Advanced Family Portraiture,3,13,2026-04-19,FOX
TV,Naked and Afraid,Alone and Terrified,19,10,2026-04-19,"Discovery,discovery+"
TV,Sullivan's Crossing,Abandoning,4,5,2026-04-19,CTV
TV,Euphoria,America My Dream,3,2,2026-04-19,HBO
TV,FROM,The Arrival,4,1,2026-04-19,MGM+
TV,The Way Home,Show Me the Way to Go Home,4,1,2026-04-19,Hallmark Channel
TV,Spillet,Konge og dronning - del 1,4,17,2026-04-19,TV 2 Play
TV,Spillet,Konge og dronning - del 2,4,18,2026-04-19,TV 2 Play
TV,Hazardous History with Henry Winkler,Killer Crazes,2,1,2026-04-19,History
TV,Tracker,Daughters,3,17,2026-04-19,CBS
TV,The Real Housewives of Rhode Island,De-Railed Divas,1,4,2026-04-19,Bravo
TV,Paranormal Caught on Camera,A Pixie Appears in Michigan and More,11,3,2026-04-19,Travel Channel
TV,Property Brothers: Under Pressure,The Cost of Second Thoughts,1,6,2026-04-19,HGTV
TV,Renovation Resort,The Heat is On,3,3,2026-04-19,Home Network
TV,Eva Longoria: Searching for France, Provence,1,3,2026-04-19,CNN
TV,Filthy Fortunes,Gunning for Ghost Town Green,2,10,2026-04-19,Discovery
TV,Watson,Sic Semper Tyrannis,2,18,2026-04-19,CBS
TV,90 Day Fiancé Pillow Talk: Before the 90 Days,Now Departing,6,19,2026-04-19,TLC
TV,Rooster,All the Dogs' Names,1,7,2026-04-19,HBO
TV,Bar Rescue,Broken Chains of Command,10,10,2026-04-19,Paramount Network
TV,Betrayal: Secrets & Lies,The New Year Intruder,1,4,2026-04-19,ABC
TV,Eva Longoria: Searching for France,Bordeaux,1,4,2026-04-19,CNN
TV,The Food That Built America,Pizza Power Play,7,1,2026-04-19,History
TV,The Comeback,Valerie Lights a Candle,3,5,2026-04-19,HBO
TV,Last Week Tonight with John Oliver,Episode 8,13,8,2026-04-19,HBO
TV,Rooster Fighter,Built Like a Brick Coop,1,6,2026-04-19,Adult Swim
TV,Утро ТНТ,Выпуск 503,3,69,2026-04-20,ТНТ
TV,ABC News Breakfast,Episode 76,2026,76,2026-04-20,ABC
TV,ABC News Mornings,Episode 76,2026,76,2026-04-20,ABC News
TV,Тёплый ветер с севера,Серия 9,1,9,2026-04-20,Смотрим
TV,Тёплый ветер с севера,Серия 10,1,10,2026-04-20,Смотрим
TV,9News Morning,Episode 78,2026,78,2026-04-20,Nine Network
TV,Hollywood Demons,Jerry! Jerry! Jerry!,2,1,2026-04-20,Max
TV,ABC News at Noon,Episode 78,2026,78,2026-04-20,ABC
TV,Supreme God Emperor,Episode 580,5,276,2026-04-20,Tencent QQ
TV,10 News: Lunchtime,Episode 78,2026,78,2026-04-20,Network 10
TV,Scarecrow,Episode 1,1,1,2026-04-20,ENA
TV,Nippon Sangoku,Imperial Council,1,3,2026-04-20,Tokyo MX
TV,Wooju Bakery,Episode 1,1,1,2026-04-20,wavve
TV,Jeopardy!,Comeback för vinnarskalle,7,9,2026-04-20,"Kanal 5,discovery+"
TV,Release that Witch,Episode 8,1,8,2026-04-20,Crunchyroll
TV,Zongmen Li Chule Wo Dou Shi Wodi,Episode 145,1,145,2026-04-20,Bilibili
TV,Папины дочки. Новые,Серия 7,5,7,2026-04-20,СТС
TV,Rebirth,Episode 25,1,25,2026-04-20,Tencent QQ
TV,Rebirth,Episode 26,1,26,2026-04-20,Tencent QQ
TV,This Palace Maid Isn't Very Calm,Episode 17,1,17,2026-04-20,Tencent QQ
TV,Light to the Night,Episode 1,1,1,2026-04-20,Youku
TV,Light to the Night,Episode 2,1,2,2026-04-20,Youku
TV,Light to the Night,Episode 3,1,3,2026-04-20,Youku
TV,Light to the Night,Episode 4,1,4,2026-04-20,Youku
TV,Папины дочки. Новые,Серия 8,5,8,2026-04-20,СТС
TV,ABC News Afternoons,Episode 78,2026,78,2026-04-20,ABC News
TV,Balamory,One-Man Band,1,1,2026-04-20,BBC iPlayer
TV,Balamory,Storytime,1,2,2026-04-20,BBC iPlayer
TV,Balamory,Plant Panic,1,3,2026-04-20,BBC iPlayer
TV,Balamory,Solar Scramble,1,4,2026-04-20,BBC iPlayer
TV,Balamory,Volcano Mix-Up,1,5,2026-04-20,BBC iPlayer
TV,Balamory,Mending Magic,1,6,2026-04-20,BBC iPlayer
TV,Balamory,Balamorysaurus,1,7,2026-04-20,BBC iPlayer
TV,Balamory,Box Bot,1,8,2026-04-20,BBC iPlayer
TV,Balamory,Mystery Wizard,1,9,2026-04-20,BBC iPlayer
TV,Balamory,Holiday Help,1,10,2026-04-20,BBC iPlayer
TV,Mint,Episode 1,1,1,2026-04-20,BBC iPlayer
TV,Mint,Episode 2,1,2,2026-04-20,BBC iPlayer
TV,Mint,Episode 3,1,3,2026-04-20,BBC iPlayer
TV,Mint,Episode 4,1,4,2026-04-20,BBC iPlayer
TV,Mint,Episode 5,1,5,2026-04-20,BBC iPlayer
TV,Mint,Episode 6,1,6,2026-04-20,BBC iPlayer
TV,Mint,Episode 7,1,7,2026-04-20,BBC iPlayer
TV,Mint,Episode 8,1,8,2026-04-20,BBC iPlayer
TV,EastEnders,20/04/2026,2026,62,2026-04-20,BBC iPlayer
TV,Great Japanese Railway Journeys,Kagoshima to Chiran,1,6,2026-04-20,BBC iPlayer
TV,Great Japanese Railway Journeys,Amakusa Islands to Shin Omuta,1,7,2026-04-20,BBC iPlayer
TV,Great Japanese Railway Journeys,Yame to Nagasaki,1,8,2026-04-20,BBC iPlayer
TV,Great Japanese Railway Journeys,Arita to Fukuoka,1,9,2026-04-20,BBC iPlayer
TV,Great Japanese Railway Journeys,Shimonoseki to Hiroshima,1,10,2026-04-20,BBC iPlayer
TV,ДНК,Выпуск 1317,9,126,2026-04-20,НТВ
TV,1 News at Six,Episode 110,2026,110,2026-04-20,TVNZ 1
TV,Беременна в 45,Выпуск 8.,4,8,2026-04-20,Ю
TV,Emmerdale,Monday 20th April,55,75,2026-04-20,"ITV1,ITVX"
TV,Coronation Street,Monday 20th April,67,75,2026-04-20,ITVX
TV,Hollyoaks,Mon 20th Apr 2026,32,45,2026-04-20,Channel 4
TV,Молодёжка. Новая смена,Серия 9,2,9,2026-04-20,СТС
TV,10 NEWS+,Episode 90,2026,90,2026-04-20,"Network 10,10 Play"
TV,Mastermind Australia,Episode 11,8,11,2026-04-20,SBS
TV,Молодёжка. Новая смена,Серия 10,2,10,2026-04-20,СТС
TV,Универ. 15 лет спустя,Серия 5,1,5,2026-04-20,ТНТ
TV,Підміна,Серія 1,1,1,2026-04-20,СТБ
TV,Morning Call,Episode 21,2026,21,2026-04-20,CNBC
TV,Home and Away,Episode 8700,39,65,2026-04-20,Seven Network
TV,A Current Affair,Episode 94,2026,94,2026-04-20,Nine Network
TV,Early Start,Episode 78,2026,78,2026-04-20,CNN
